,subst,c,date,power,it,run
34,Pentan,49.5,17.12.2021,24.0,10.0,5
128,Pentan,52.3,05.01.2022,24.0,5.0,9
220,Pentan,19.8,05.01.2022,34.0,5.0,1
189,Pentan,49.5,17.12.2021,34.0,5.0,10
110,Pentan,49.7,05.01.2022,24.0,10.0,1
214,Pentan,101.5,17.12.2021,34.0,10.0,5
32,Pentan,49.5,17.12.2021,24.0,10.0,3
251,Pentan,48.3,05.01.2022,34.0,10.0,2
313,Pentan,100.8,05.01.2022,34.0,10.0,3
127,Pentan,52.3,05.01.2022,24.0,5.0,8
309,Pentan,100.8,05.01.2022,34.0,5.0,10
89,Pentan,48.3,05.01.2022,24.0,5.0,10
310,Pentan,100.8,05.01.2022,34.0,5.0,11
187,Pentan,49.5,17.12.2021,34.0,5.0,8
268,Pentan,49.7,05.01.2022,34.0,5.0,9
36,Pentan,49.5,17.12.2021,24.0,10.0,7
201,Pentan,101.5,17.12.2021,34.0,5.0,2
293,Pentan,52.3,05.01.2022,34.0,10.0,4
152,Pentan,100.8,05.01.2022,24.0,10.0,3
299,Pentan,52.3,05.01.2022,34.0,10.0,10
160,Pentan,20.0,17.12.2021,34.0,5.0,1
51,Pentan,101.5,17.12.2021,24.0,10.0,2
93,Pentan,48.3,05.01.2022,24.0,10.0,4
85,Pentan,48.3,05.01.2022,24.0,5.0,6
100,Pentan,49.7,05.01.2022,24.0,5.0,1
17,Pentan,20.0,17.12.2021,24.0,10.0,7
33,Pentan,49.5,17.12.2021,24.0,10.0,4
242,Pentan,48.3,05.01.2022,34.0,5.0,3
258,Pentan,48.3,05.01.2022,34.0,10.0,9
7,Pentan,20.0,17.12.2021,24.0,5.0,8
175,Pentan,20.0,17.12.2021,34.0,10.0,6
244,Pentan,48.3,05.01.2022,34.0,5.0,5
312,Pentan,100.8,05.01.2022,34.0,10.0,2
38,Pentan,49.5,17.12.2021,24.0,10.0,9
78,Pentan,19.8,05.01.2022,24.0,10.0,9
48,Pentan,101.5,17.12.2021,24.0,5.0,9
227,Pentan,19.8,05.01.2022,34.0,5.0,8
106,Pentan,49.7,05.01.2022,24.0,5.0,7
222,Pentan,19.8,05.01.2022,34.0,5.0,3
67,Pentan,19.8,05.01.2022,24.0,5.0,8
109,Pentan,49.7,05.01.2022,24.0,5.0,10
207,Pentan,101.5,17.12.2021,34.0,5.0,8
16,Pentan,20.0,17.12.2021,24.0,10.0,6
270,Pentan,49.7,05.01.2022,34.0,10.0,1
115,Pentan,49.7,05.01.2022,24.0,10.0,6
277,Pentan,49.7,05.01.2022,34.0,10.0,8
308,Pentan,100.8,05.01.2022,34.0,5.0,9
104,Pentan,49.7,05.01.2022,24.0,5.0,5
238,Pentan,19.8,05.01.2022,34.0,10.0,9
318,Pentan,100.8,05.01.2022,34.0,10.0,8
77,Pentan,19.8,05.01.2022,24.0,10.0,8
297,Pentan,52.3,05.01.2022,34.0,10.0,8
265,Pentan,49.7,05.01.2022,34.0,5.0,6
274,Pentan,49.7,05.01.2022,34.0,10.0,5
142,Pentan,100.8,05.01.2022,24.0,5.0,3
49,Pentan,101.5,17.12.2021,24.0,5.0,10
252,Pentan,48.3,05.01.2022,34.0,10.0,3
246,Pentan,48.3,05.01.2022,34.0,5.0,7
261,Pentan,49.7,05.01.2022,34.0,5.0,2
18,Pentan,20.0,17.12.2021,24.0,10.0,8
199,Pentan,49.5,17.12.2021,34.0,10.0,10
129,Pentan,52.3,05.01.2022,24.0,5.0,10
56,Pentan,101.5,17.12.2021,24.0,10.0,7
12,Pentan,20.0,17.12.2021,24.0,10.0,2
73,Pentan,19.8,05.01.2022,24.0,10.0,4
91,Pentan,48.3,05.01.2022,24.0,10.0,2
275,Pentan,49.7,05.01.2022,34.0,10.0,6
158,Pentan,100.8,05.01.2022,24.0,10.0,9
218,Pentan,101.5,17.12.2021,34.0,10.0,9
183,Pentan,49.5,17.12.2021,34.0,5.0,4
99,Pentan,48.3,05.01.2022,24.0,10.0,10
247,Pentan,48.3,05.01.2022,34.0,5.0,8
50,Pentan,101.5,17.12.2021,24.0,10.0,1
118,Pentan,49.7,05.01.2022,24.0,10.0,9
259,Pentan,48.3,05.01.2022,34.0,10.0,10
262,Pentan,49.7,05.01.2022,34.0,5.0,3
112,Pentan,49.7,05.01.2022,24.0,10.0,3
248,Pentan,48.3,05.01.2022,34.0,5.0,9
203,Pentan,101.5,17.12.2021,34.0,5.0,4
314,Pentan,100.8,05.01.2022,34.0,10.0,4
296,Pentan,52.3,05.01.2022,34.0,10.0,7
148,Pentan,100.8,05.01.2022,24.0,5.0,9
166,Pentan,20.0,17.12.2021,34.0,5.0,7
124,Pentan,52.3,05.01.2022,24.0,5.0,5
168,Pentan,20.0,17.12.2021,34.0,5.0,9
254,Pentan,48.3,05.01.2022,34.0,10.0,5
279,Pentan,49.7,05.01.2022,34.0,10.0,10
88,Pentan,48.3,05.01.2022,24.0,5.0,9
302,Pentan,100.8,05.01.2022,34.0,5.0,3
263,Pentan,49.7,05.01.2022,34.0,5.0,4
264,Pentan,49.7,05.01.2022,34.0,5.0,5
176,Pentan,20.0,17.12.2021,34.0,10.0,7
153,Pentan,100.8,05.01.2022,24.0,10.0,4
236,Pentan,19.8,05.01.2022,34.0,10.0,7
295,Pentan,52.3,05.01.2022,34.0,10.0,6
239,Pentan,19.8,05.01.2022,34.0,10.0,10
181,Pentan,49.5,17.12.2021,34.0,5.0,2
114,Pentan,49.7,05.01.2022,24.0,10.0,5
260,Pentan,49.7,05.01.2022,34.0,5.0,1
28,Pentan,49.5,17.12.2021,24.0,5.0,8
157,Pentan,100.8,05.01.2022,24.0,10.0,8
288,Pentan,52.3,05.01.2022,34.0,5.0,9
90,Pentan,48.3,05.01.2022,24.0,10.0,1
117,Pentan,49.7,05.01.2022,24.0,10.0,8
164,Pentan,20.0,17.12.2021,34.0,5.0,5
21,Pentan,49.5,17.12.2021,24.0,5.0,1
111,Pentan,49.7,05.01.2022,24.0,10.0,2
231,Pentan,19.8,05.01.2022,34.0,10.0,2
134,Pentan,52.3,05.01.2022,24.0,10.0,5
200,Pentan,101.5,17.12.2021,34.0,5.0,1
72,Pentan,19.8,05.01.2022,24.0,10.0,3
206,Pentan,101.5,17.12.2021,34.0,5.0,7
13,Pentan,20.0,17.12.2021,24.0,10.0,3
205,Pentan,101.5,17.12.2021,34.0,5.0,6
122,Pentan,52.3,05.01.2022,24.0,5.0,3
26,Pentan,49.5,17.12.2021,24.0,5.0,6
197,Pentan,49.5,17.12.2021,34.0,10.0,8
229,Pentan,19.8,05.01.2022,34.0,5.0,10
173,Pentan,20.0,17.12.2021,34.0,10.0,4
194,Pentan,49.5,17.12.2021,34.0,10.0,5
304,Pentan,100.8,05.01.2022,34.0,5.0,5
140,Pentan,100.8,05.01.2022,24.0,5.0,1
14,Pentan,20.0,17.12.2021,24.0,10.0,4
301,Pentan,100.8,05.01.2022,34.0,5.0,2
86,Pentan,48.3,05.01.2022,24.0,5.0,7
179,Pentan,20.0,17.12.2021,34.0,10.0,10
64,Pentan,19.8,05.01.2022,24.0,5.0,5
27,Pentan,49.5,17.12.2021,24.0,5.0,7
45,Pentan,101.5,17.12.2021,24.0,5.0,6
44,Pentan,101.5,17.12.2021,24.0,5.0,5
154,Pentan,100.8,05.01.2022,24.0,10.0,5
208,Pentan,101.5,17.12.2021,34.0,5.0,9
130,Pentan,52.3,05.01.2022,24.0,10.0,1
71,Pentan,19.8,05.01.2022,24.0,10.0,2
245,Pentan,48.3,05.01.2022,34.0,5.0,6
31,Pentan,49.5,17.12.2021,24.0,10.0,2
287,Pentan,52.3,05.01.2022,34.0,5.0,8
198,Pentan,49.5,17.12.2021,34.0,10.0,9
61,Pentan,19.8,05.01.2022,24.0,5.0,2
188,Pentan,49.5,17.12.2021,34.0,5.0,9
185,Pentan,49.5,17.12.2021,34.0,5.0,6
144,Pentan,100.8,05.01.2022,24.0,5.0,5
9,Pentan,20.0,17.12.2021,24.0,5.0,10
226,Pentan,19.8,05.01.2022,34.0,5.0,7
283,Pentan,52.3,05.01.2022,34.0,5.0,4
161,Pentan,20.0,17.12.2021,34.0,5.0,2
180,Pentan,49.5,17.12.2021,34.0,5.0,1
316,Pentan,100.8,05.01.2022,34.0,10.0,6
47,Pentan,101.5,17.12.2021,24.0,5.0,8
37,Pentan,49.5,17.12.2021,24.0,10.0,8
15,Pentan,20.0,17.12.2021,24.0,10.0,5
101,Pentan,49.7,05.01.2022,24.0,5.0,2
6,Pentan,20.0,17.12.2021,24.0,5.0,7
228,Pentan,19.8,05.01.2022,34.0,5.0,9
237,Pentan,19.8,05.01.2022,34.0,10.0,8
250,Pentan,48.3,05.01.2022,34.0,10.0,1
212,Pentan,101.5,17.12.2021,34.0,10.0,3
156,Pentan,100.8,05.01.2022,24.0,10.0,7
300,Pentan,100.8,05.01.2022,34.0,5.0,1
159,Pentan,100.8,05.01.2022,24.0,10.0,10
19,Pentan,20.0,17.12.2021,24.0,10.0,9
133,Pentan,52.3,05.01.2022,24.0,10.0,4
22,Pentan,49.5,17.12.2021,24.0,5.0,2
40,Pentan,101.5,17.12.2021,24.0,5.0,1
2,Pentan,20.0,17.12.2021,24.0,5.0,3
217,Pentan,101.5,17.12.2021,34.0,10.0,8
298,Pentan,52.3,05.01.2022,34.0,10.0,9
290,Pentan,52.3,05.01.2022,34.0,10.0,1
193,Pentan,49.5,17.12.2021,34.0,10.0,4
272,Pentan,49.7,05.01.2022,34.0,10.0,3
253,Pentan,48.3,05.01.2022,34.0,10.0,4
8,Pentan,20.0,17.12.2021,24.0,5.0,9
204,Pentan,101.5,17.12.2021,34.0,5.0,5
3,Pentan,20.0,17.12.2021,24.0,5.0,4
177,Pentan,20.0,17.12.2021,34.0,10.0,8
257,Pentan,48.3,05.01.2022,34.0,10.0,8
54,Pentan,101.5,17.12.2021,24.0,10.0,5
146,Pentan,100.8,05.01.2022,24.0,5.0,7
132,Pentan,52.3,05.01.2022,24.0,10.0,3
178,Pentan,20.0,17.12.2021,34.0,10.0,9
137,Pentan,52.3,05.01.2022,24.0,10.0,8
53,Pentan,101.5,17.12.2021,24.0,10.0,4
202,Pentan,101.5,17.12.2021,34.0,5.0,3
269,Pentan,49.7,05.01.2022,34.0,5.0,10
292,Pentan,52.3,05.01.2022,34.0,10.0,3
169,Pentan,20.0,17.12.2021,34.0,5.0,10
29,Pentan,49.5,17.12.2021,24.0,5.0,9
76,Pentan,19.8,05.01.2022,24.0,10.0,7
42,Pentan,101.5,17.12.2021,24.0,5.0,3
46,Pentan,101.5,17.12.2021,24.0,5.0,7
280,Pentan,52.3,05.01.2022,34.0,5.0,1
1,Pentan,20.0,17.12.2021,24.0,5.0,2
87,Pentan,48.3,05.01.2022,24.0,5.0,8
235,Pentan,19.8,05.01.2022,34.0,10.0,6
139,Pentan,52.3,05.01.2022,24.0,10.0,10
96,Pentan,48.3,05.01.2022,24.0,10.0,7
136,Pentan,52.3,05.01.2022,24.0,10.0,7
70,Pentan,19.8,05.01.2022,24.0,10.0,1
276,Pentan,49.7,05.01.2022,34.0,10.0,7
120,Pentan,52.3,05.01.2022,24.0,5.0,1
59,Pentan,101.5,17.12.2021,24.0,10.0,10
230,Pentan,19.8,05.01.2022,34.0,10.0,1
225,Pentan,19.8,05.01.2022,34.0,5.0,6
267,Pentan,49.7,05.01.2022,34.0,5.0,8
5,Pentan,20.0,17.12.2021,24.0,5.0,6
317,Pentan,100.8,05.01.2022,34.0,10.0,7
107,Pentan,49.7,05.01.2022,24.0,5.0,8
98,Pentan,48.3,05.01.2022,24.0,10.0,9
30,Pentan,49.5,17.12.2021,24.0,10.0,1
65,Pentan,19.8,05.01.2022,24.0,5.0,6
255,Pentan,48.3,05.01.2022,34.0,10.0,6
151,Pentan,100.8,05.01.2022,24.0,10.0,2
68,Pentan,19.8,05.01.2022,24.0,5.0,9
234,Pentan,19.8,05.01.2022,34.0,10.0,5
52,Pentan,101.5,17.12.2021,24.0,10.0,3
60,Pentan,19.8,05.01.2022,24.0,5.0,1
285,Pentan,52.3,05.01.2022,34.0,5.0,6
163,Pentan,20.0,17.12.2021,34.0,5.0,4
74,Pentan,19.8,05.01.2022,24.0,10.0,5
55,Pentan,101.5,17.12.2021,24.0,10.0,6
141,Pentan,100.8,05.01.2022,24.0,5.0,2
320,Pentan,100.8,05.01.2022,34.0,10.0,10
172,Pentan,20.0,17.12.2021,34.0,10.0,3
125,Pentan,52.3,05.01.2022,24.0,5.0,6
211,Pentan,101.5,17.12.2021,34.0,10.0,2
25,Pentan,49.5,17.12.2021,24.0,5.0,5
82,Pentan,48.3,05.01.2022,24.0,5.0,3
20,Pentan,20.0,17.12.2021,24.0,10.0,10
62,Pentan,19.8,05.01.2022,24.0,5.0,3
41,Pentan,101.5,17.12.2021,24.0,5.0,2
315,Pentan,100.8,05.01.2022,34.0,10.0,5
81,Pentan,48.3,05.01.2022,24.0,5.0,2
116,Pentan,49.7,05.01.2022,24.0,10.0,7
281,Pentan,52.3,05.01.2022,34.0,5.0,2
80,Pentan,48.3,05.01.2022,24.0,5.0,1
192,Pentan,49.5,17.12.2021,34.0,10.0,3
249,Pentan,48.3,05.01.2022,34.0,5.0,10
97,Pentan,48.3,05.01.2022,24.0,10.0,8
282,Pentan,52.3,05.01.2022,34.0,5.0,3
105,Pentan,49.7,05.01.2022,24.0,5.0,6
165,Pentan,20.0,17.12.2021,34.0,5.0,6
155,Pentan,100.8,05.01.2022,24.0,10.0,6
138,Pentan,52.3,05.01.2022,24.0,10.0,9
182,Pentan,49.5,17.12.2021,34.0,5.0,3
232,Pentan,19.8,05.01.2022,34.0,10.0,3
241,Pentan,48.3,05.01.2022,34.0,5.0,2
286,Pentan,52.3,05.01.2022,34.0,5.0,7
190,Pentan,49.5,17.12.2021,34.0,10.0,1
75,Pentan,19.8,05.01.2022,24.0,10.0,6
4,Pentan,20.0,17.12.2021,24.0,5.0,5
145,Pentan,100.8,05.01.2022,24.0,5.0,6
273,Pentan,49.7,05.01.2022,34.0,10.0,4
126,Pentan,52.3,05.01.2022,24.0,5.0,7
186,Pentan,49.5,17.12.2021,34.0,5.0,7
305,Pentan,100.8,05.01.2022,34.0,5.0,6
219,Pentan,101.5,17.12.2021,34.0,10.0,10
